pub_date	title	venue	citation
2011-1	Nonlinear Adaptive Flight Control System for Unmanned Aerial Vehicle: A Nonlinear Dynamic Inversion Based Approach	Lambert Publishing	"Khan, Sohail; "
2013-1	Dynamics of wind-turbine driven Self-Excited Induction Generator with online parameter calculation	IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society	"Khan, Sohail; Shahzad, Mohsin; Palensky, Peter; Jahangir, Khurram; "
2014-1	"Survey, Illustrations and Limits of Game Theory for Cyber-Physical Energy Systems"	at - Automatisierungstechnik	"Hadrien Bosetti, Sohail Khan, Hamid Aghaie, Peter Palensky; "
2014-2	A replicator dynamics method for the unit commitment problem	2014 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES)	"Khan, Sohail; Bosetti, Hadrien; Palensky, Peter; Gawlik, Wolfgang; "
2015-1	Reserve Capability Assessment Considering Correlated Uncertainty in Microgrid	IEEE Transactions on Sustainable Energy	"Khan, Sohail; Gawlik, Wolfgang; Palensky, Peter; "
2016-1	Stochastic Battery Model for Aggregation of Thermostatically Controlled Loads	"2016 IEEE International Conference on Industrial Technology (ICIT), Taipei, Taiwan"	"S. Khan, M. Shahzad, U. Habib, W. Gawlik and P. Palensky; "
2017-1	Transient Stability in Oscillating Multi-Machine Systems using Lyapunov Vectors	IEEE Transactions on Power Systems	"Khan, Hadrien Bosetti and Sohail; "
2018-1	On small signal frequency stability under virtual inertia and the role of PLLs	Energies	"Khan, Sohail; Bletterie, Benoit; Anta, Adolfo; Gawlik, Wolfgang; "
2016-1	Co-simulation based platform for thermostatically controlled loads as a frequency reserve	2016 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES)	"Latif, Aadil; Khan, Sohail; Palensky, Peter; Wolfgang, Gawlik; "
2016-2	Assessment and Allocation of Operational Flexibility in Power Systems with Distributed Resources	CIRED	"Khan, Sohail; "
2018-2	Innovative grid operation planning tool for the system operators	CIRED	"Ataollah Moghim Khavari, Mohamed Shalaby, Giorgio Graditi, Roberto Ciavarella, Marialaura Di Somma, Maria Valenti, Helfried Brunner, Sawsan Henein, Sohail Khan, Jan Ringelstein, Melios Hadjikypris; "
2019-1	Python based scenario design and parallel simulation method for transient rotor angle stability assessment in PowerFactory	2019 IEEE Milan PowerTech	"Khan, Sohail; Latif, Aadil; "
2020-1	Optimal energy interruption planning and generation re-dispatch for improving reliability during contingencies	2020 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT)	"Khan, Sohail; Henein, Sawsan; Brunner, Helfried; "
2020-2	Optimal placement of electric vehicle charging stations in the active distribution network	IEEE Access	"Zeb, Muhammad Zulqarnain; Imran, Kashif; Khattak, Abraiz; Janjua, Abdul Kashif; Pal, Anamitra; Nadeem, Muhammad; Zhang, Jiangfeng; Khan, Sohail; "
2021-1	Evaluation of sensitivity based coordinated volt-var control and local reactive power for voltage regulation and power exchange across system boundaries in smart distribution networks	Electric Power Systems Research	"Khan, Sohail; Zehetbauer, Paul; Schwalbe, Roman; "
2022-1	Calculation of reactive power requirement for voltage improvement at Mardan station	2022 7th Asia Conference on Power and Electrical Engineering (ACPEE)	"Khan, Salman; Masood, Arsalan; Khan, Sohail; Shahid, Arqum; "
