pub_date	title	venue	excerpt	citation	url_slug	paper_url
2011-1	Nonlinear Adaptive Flight Control System for Unmanned Aerial Vehicle: A Nonlinear Dynamic Inversion Based Approach	Lambert Publishing	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-1	http://academicpages.github.io/files/paper1.pdf
2013-1	Dynamics of wind-turbine driven Self-Excited Induction Generator with online parameter calculation	IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-2	http://academicpages.github.io/files/paper2.pdf
2014-1	"Survey, Illustrations and Limits of Game Theory for Cyber-Physical Energy Systems"	at - Automatisierungstechnik	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-3	http://academicpages.github.io/files/paper3.pdf
2014-2	A replicator dynamics method for the unit commitment problem	2014 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES)	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-4	http://academicpages.github.io/files/paper3.pdf
2015-1	Reserve Capability Assessment Considering Correlated Uncertainty in Microgrid	IEEE Transactions on Sustainable Energy	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-5	http://academicpages.github.io/files/paper3.pdf
2016-1	Stochastic Battery Model for Aggregation of Thermostatically Controlled Loads	"2016 IEEE International Conference on Industrial Technology (ICIT), Taipei, Taiwan"	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-6	http://academicpages.github.io/files/paper3.pdf
2017-1	Transient Stability in Oscillating Multi-Machine Systems using Lyapunov Vectors	IEEE Transactions on Power Systems	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-7	http://academicpages.github.io/files/paper3.pdf
2018-1	On small signal frequency stability under virtual inertia and the role of PLLs	Energies	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-8	http://academicpages.github.io/files/paper3.pdf
2016-1	Co-simulation based platform for thermostatically controlled loads as a frequency reserve	2016 Workshop on Modeling and Simulation of Cyber-Physical Energy Systems (MSCPES)	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-9	http://academicpages.github.io/files/paper3.pdf
2016-2	Assessment and Allocation of Operational Flexibility in Power Systems with Distributed Resources	CIRED	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-10	http://academicpages.github.io/files/paper3.pdf
2018-2	Innovative grid operation planning tool for the system operators	CIRED	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-11	http://academicpages.github.io/files/paper3.pdf
2019-1	Python based scenario design and parallel simulation method for transient rotor angle stability assessment in PowerFactory	2019 IEEE Milan PowerTech	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-12	http://academicpages.github.io/files/paper3.pdf
2020-1	Optimal energy interruption planning and generation re-dispatch for improving reliability during contingencies	2020 IEEE Power & Energy Society Innovative Smart Grid Technologies Conference (ISGT)	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-13	http://academicpages.github.io/files/paper3.pdf
2020-2	Optimal placement of electric vehicle charging stations in the active distribution network	IEEE Access	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-14	http://academicpages.github.io/files/paper3.pdf
2021-1	Evaluation of sensitivity based coordinated volt-var control and local reactive power for voltage regulation and power exchange across system boundaries in smart distribution networks	Electric Power Systems Research	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-15	http://academicpages.github.io/files/paper3.pdf
2022-1	Calculation of reactive power requirement for voltage improvement at Mardan station	2022 7th Asia Conference on Power and Electrical Engineering (ACPEE)	This paper is about the number 1. The number 2 is left for future work.	"Your Name, You. (2009). ""Paper Title Number 1."" <i>Journal 1</i>. 1(1)."	paper-title-number-16	http://academicpages.github.io/files/paper3.pdf
